operation,pattern,polling_mode,queue_type,concurrency,msg_size,batch_size,bandwidth_gbps,msg_rate_mps,page_faults,latency_min_ns,latency_max_ns,latency_avg_ns,latency_p50_ns,latency_p99_ns,latency_count
data_move,sliding_window_reusable_bs1,inline,TAS,4096,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,4096,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,4096,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,4096,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,4096,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,4096,256,1,1.23022,5.15992,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,4096,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,4096,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,4096,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,4096,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,4096,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,4096,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,4096,1024,1,4.9417,5.18174,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,4096,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,4096,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,4096,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,4096,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,4096,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,4096,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,4096,2048,1,9.87384,5.17673,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,4096,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,4096,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,4096,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,4096,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,4096,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,4096,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,4096,4096,1,19.7119,5.16736,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,4096,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,4096,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,4096,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,4096,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,4096,4096,1,0,0,0,0,0,0,0,0,0
