group,case,path,threads,concurrent_requests,requests,bytes_per_request,bytes_per_iter,mean_ms,gbps,mreq_s
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,1,4,16242,1033,16777986,7.873818,2.130858,2.062786
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,1,8,16242,1033,16777986,6.414718,2.615546,2.531990
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,1,16,16242,1033,16777986,5.742532,2.921705,2.828369
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,2,1,16242,1033,16777986,10.246927,1.637368,1.585061
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,2,2,16242,1033,16777986,6.978438,2.404261,2.327455
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,2,4,16242,1033,16777986,4.582281,3.661492,3.544523
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,2,8,16242,1033,16777986,3.706020,4.527225,4.382599
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,2,16,16242,1033,16777986,3.531708,4.750672,4.598908
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,4,1,16242,1033,16777986,5.327490,3.149323,3.048715
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,4,2,16242,1033,16777986,3.565567,4.705559,4.555236
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,4,4,16242,1033,16777986,2.459671,6.821231,6.603321
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,4,8,16242,1033,16777986,2.030742,8.261999,7.998063
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,4,16,16242,1033,16777986,1.926735,8.707987,8.429803
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,8,1,16242,1033,16777986,2.886686,5.812197,5.626522
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,8,2,16242,1033,16777986,1.899798,8.831458,8.549330
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,8,4,16242,1033,16777986,1.401200,11.974012,11.591492
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,8,8,16242,1033,16777986,1.244006,13.487058,13.056203
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,8,16,16242,1033,16777986,1.118997,14.993776,14.514788
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,16,1,16242,1033,16777986,1.624280,10.329491,9.999507
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,16,2,16242,1033,16777986,1.152832,14.553716,14.088786
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,16,4,16242,1033,16777986,0.865479,19.385776,18.766482
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,16,8,16242,1033,16777986,0.785503,21.359541,20.677194
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-1024,DSA Prost thread matrix,16,16,16242,1033,16777986,0.775960,21.622221,20.931482
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,1,1,4088,4105,16781240,5.460522,3.073193,0.748646
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,1,2,4088,4105,16781240,3.669515,4.573149,1.114044
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,1,4,4088,4105,16781240,2.653916,6.323198,1.540365
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,1,8,4088,4105,16781240,2.038750,8.231143,2.005150
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,1,16,4088,4105,16781240,1.719523,9.759242,2.377404
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,2,1,4088,4105,16781240,3.041265,5.517848,1.344177
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,2,2,4088,4105,16781240,2.061883,8.138794,1.982654
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,2,4,4088,4105,16781240,1.601552,10.478110,2.552524
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,2,8,4088,4105,16781240,1.137034,14.758791,3.595321
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,2,16,4088,4105,16781240,1.000440,16.773861,4.086202
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,4,1,4088,4105,16781240,1.856589,9.038747,2.201887
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,4,2,4088,4105,16781240,1.254877,13.372818,3.257690
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,4,4,4088,4105,16781240,0.987882,16.987082,4.138144
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,4,8,4088,4105,16781240,0.794659,21.117537,5.144345
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,4,16,4088,4105,16781240,0.716020,23.436822,5.709335
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,8,1,4088,4105,16781240,1.032092,16.259444,3.960888
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,8,2,4088,4105,16781240,0.744433,22.542312,5.491428
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,8,4,4088,4105,16781240,0.640692,26.192387,6.380606
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,8,8,4088,4105,16781240,0.625329,26.835860,6.537359
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,8,16,4088,4105,16781240,0.617495,27.176314,6.620296
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,16,1,4088,4105,16781240,0.677847,24.756684,6.030861
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,16,2,4088,4105,16781240,0.649750,25.827223,6.291650
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,16,4,4088,4105,16781240,0.638825,26.268897,6.399244
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,16,8,4088,4105,16781240,0.636322,26.372246,6.424420
prost_async_payload_encode_dsa_thread_matrix,small-bytes-4k,DSA Prost thread matrix,16,16,4088,4105,16781240,0.634014,26.468230,6.447803
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,1,1,16,1048586,16777376,0.610363,27.487523,0.026214
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,1,2,16,1048586,16777376,0.580378,28.907689,0.027568
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,1,4,16,1048586,16777376,0.563735,29.761103,0.028382
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,1,8,16,1048586,16777376,0.560424,29.936922,0.028550
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,1,16,16,1048586,16777376,0.812270,20.654915,0.019698
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,2,1,16,1048586,16777376,0.544772,30.797073,0.029370
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,2,2,16,1048586,16777376,0.543909,30.845910,0.029417
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,2,4,16,1048586,16777376,0.548892,30.565920,0.029150
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,2,8,16,1048586,16777376,0.566166,29.633338,0.028260
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,4,1,16,1048586,16777376,0.543977,30.842084,0.029413
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,4,2,16,1048586,16777376,0.548928,30.563907,0.029148
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,4,4,16,1048586,16777376,0.560014,29.958871,0.028571
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,8,1,16,1048586,16777376,0.554220,30.272030,0.028869
prost_async_payload_encode_dsa_thread_matrix,large-bytes,DSA Prost thread matrix,8,2,16,1048586,16777376,0.565599,29.663021,0.028289
