operation,pattern,polling_mode,queue_type,concurrency,msg_size,batch_size,bandwidth_gbps,msg_rate_mps,page_faults,latency_min_ns,latency_max_ns,latency_avg_ns,latency_p50_ns,latency_p99_ns,latency_count
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,TAS,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,TTAS,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Backoff,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,LockFree,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Indexed,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,NoLock,256,8,32,0.184078,24.7065,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Mutex,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,TAS,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,TTAS,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Backoff,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,LockFree,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Indexed,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,NoLock,1024,8,32,0.204557,27.4552,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Mutex,1024,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,TAS,1024,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,TTAS,1024,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Backoff,1024,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,LockFree,1024,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs32,inline,Indexed,1024,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,NoLock,64,8,64,0.10545,14.1533,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Mutex,64,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,TAS,64,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,TTAS,64,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Backoff,64,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,LockFree,64,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Indexed,64,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,NoLock,256,8,64,0.174144,23.3732,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Mutex,256,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,TAS,256,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,TTAS,256,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Backoff,256,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,LockFree,256,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Indexed,256,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,NoLock,1024,8,64,0.213024,28.5915,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Mutex,1024,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,TAS,1024,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,TTAS,1024,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Backoff,1024,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,LockFree,1024,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs64,inline,Indexed,1024,8,64,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,NoLock,64,8,128,0.105546,14.1662,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Mutex,64,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,TAS,64,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,TTAS,64,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Backoff,64,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,LockFree,64,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Indexed,64,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,NoLock,256,8,128,0.177447,23.8165,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Mutex,256,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,TAS,256,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,TTAS,256,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Backoff,256,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,LockFree,256,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Indexed,256,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,NoLock,1024,8,128,0.207045,27.7892,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Mutex,1024,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,TAS,1024,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,TTAS,1024,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Backoff,1024,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,LockFree,1024,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_direct_mirrored_ring_batch_bs128,inline,Indexed,1024,8,128,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,NoLock,64,8,16,0.0956778,12.8417,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Mutex,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,TAS,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,TTAS,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Backoff,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,LockFree,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Indexed,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,NoLock,256,8,16,0.116943,15.6959,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Mutex,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,TAS,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,TTAS,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Backoff,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,LockFree,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Indexed,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,NoLock,1024,8,16,0.116849,15.6832,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Mutex,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,TAS,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,TTAS,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Backoff,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,LockFree,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs16,inline,Indexed,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,NoLock,64,8,32,0.093089,12.4942,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,Mutex,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,TAS,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,TTAS,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,Backoff,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,LockFree,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,Indexed,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,NoLock,256,8,32,0.114989,15.4336,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,Mutex,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,TAS,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,TTAS,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,Backoff,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,LockFree,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,Indexed,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,NoLock,1024,8,32,0.135702,18.2136,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,Mutex,1024,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_mirrored_ring_batch_bs32,inline,TAS,1024,8,32,0,0,0,0,0,0,0,0,0
