workload,gap_tsc_ticks,k_prefill,submitted,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,median_hardware_observed,min_hardware_observed,max_hardware_observed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
noop,200,128,129,10,12.0,13,143,32311.0,32674.2,3644.0,128,128,129.0,129,129,0,0,0,10,0,1
noop,200,160,161,10,14.0,17,18,40787.0,40682.2,2157.0,160,160,161.0,161,161,0,0,0,10,0,1
noop,200,192,193,10,12.0,13,13,45641.0,45786.8,3055.0,192,192,193.0,193,193,0,0,0,10,0,1
noop,200,224,225,10,12.0,14,15,54094.0,54141.6,2884.0,224,224,225.0,225,225,0,0,0,10,0,1
noop,200,256,257,10,13.0,15,15,62437.0,62070.6,2452.0,256,256,257.0,257,257,0,0,0,10,0,1
noop,200,288,289,10,13.0,13,13,67826.0,67777.2,4990.0,288,288,289.0,289,289,0,0,0,10,0,1
noop,200,320,321,10,13.0,13,13,74656.0,74648.2,5493.0,320,320,321.0,321,321,0,0,0,10,0,1
noop,300,96,97,10,12.0,13,13,33583.0,33644.8,1805.0,96,96,97.0,97,97,0,0,0,10,0,1
noop,300,114,115,10,13.0,13,13,40121.0,40565,2753.0,114,114,115.0,115,115,0,0,0,10,0,1
noop,300,128,129,10,13.0,16,18,45819.0,48390,2624.0,128,128,129.0,129,129,0,0,0,10,0,1
noop,300,160,161,10,12.5,14,38,61940.0,63050.4,4557.0,160,160,161.0,161,161,0,0,0,10,0,1
noop,300,192,193,10,12.0,13,13,65146.0,65250.6,1263.0,192,192,193.0,193,193,0,0,0,10,0,1
noop,300,224,225,10,13.0,14,15,78702.0,78717.6,2133.0,224,224,225.0,225,225,0,0,0,10,0,1
noop,300,256,257,10,13.0,13,14,85927.0,86373.4,1682.0,256,256,257.0,257,257,0,0,0,10,0,1
noop,300,288,289,10,12.0,16,58,103628.0,110298.8,2487.0,288,288,289.0,289,289,0,0,0,10,0,1
noop,300,320,321,10,12.5,17,46,110300.0,115444.6,6471.0,320,320,321.0,321,321,0,0,0,10,0,1
4KiB,0,96,97,10,32.5,47,75,791.0,865,39019.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,0,114,115,10,203.5,217,218,865.0,921.6,194083.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,0,128,129,10,216.0,221,222,3539.0,3590.2,47016.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,0,160,161,10,213.5,216,221,11663.0,13460,46627.0,159,160,161.0,159,161,0,2,0,10,0,1
4KiB,0,192,193,10,214.0,220,228,34283.0,37689.4,66592.0,192,192,193.0,193,193,0,0,0,10,0,1
4KiB,0,224,225,10,218.0,218,220,27040.0,28179.6,2247194.0,194,200,198.0,194,201,24,31,0,10,0,1
