workload,gap_tsc_ticks,k_prefill,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,min_trace_completed,max_trace_completed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
1MiB,0,114,10,211.0,237,263,597.0,714.2,2237242.0,29,30,115,115,0,0,0,10,0,1
1MiB,0,128,10,214.0,218,236,3445.0,3564.4,2258010.0,30,30,129,129,0,0,0,10,0,1
1MiB,0,160,10,212.0,216,218,11182.0,11404.8,2229072.0,30,31,131,131,30,30,0,10,0,1
1MiB,0,192,10,213.5,216,216,18643.0,18823.6,2247154.0,30,31,131,131,62,62,0,10,0,1
1MiB,0,224,10,209.0,218,219,26157.0,29315.4,2275219.0,30,31,131,131,94,94,0,10,0,1
1MiB,0,256,10,209.0,218,219,33978.0,35098.4,2306208.0,29,32,131,132,125,126,0,10,0,1
1MiB,0,288,10,211.5,216,218,41127.0,41411,2309893.0,30,32,131,132,157,158,0,10,0,1
1MiB,0,320,10,209.0,217,219,48456.0,48806.4,2253612.0,30,32,131,132,189,190,0,10,0,1
1MiB,1,96,10,78.0,278,279,6213.0,6388.4,2220726.0,29,30,97,97,0,0,0,10,0,1
1MiB,1,114,10,9.0,13,13,9038.0,8437.6,2232343.0,29,30,115,115,0,0,0,10,0,1
1MiB,1,128,10,9.0,9,12,9409.0,11005.2,2243429.0,29,30,129,129,0,0,0,10,0,1
1MiB,1,160,10,213.5,216,217,12793.0,12805.6,2229888.0,30,30,131,131,30,30,0,10,0,1
1MiB,1,192,10,209.0,215,221,20121.0,19919.6,2264299.0,30,31,131,131,62,62,0,10,0,1
1MiB,1,224,10,210.5,217,217,27112.0,26965.8,2277577.0,29,31,131,131,94,94,0,10,0,1
1MiB,1,256,10,214.0,217,217,35116.0,34895,2245065.0,29,32,131,132,125,126,0,10,0,1
1MiB,1,288,10,211.0,214,215,42626.0,42728,2318221.0,30,32,131,132,157,158,0,10,0,1
1MiB,1,320,10,213.0,217,223,49860.0,49790,2256013.0,31,32,131,132,189,190,0,10,0,1
1MiB,10,96,10,10.5,77,78,8513.0,7996.2,2229141.0,29,30,97,97,0,0,0,10,0,1
1MiB,10,114,10,9.0,11,12,9026.0,8696,2230970.0,29,30,115,115,0,0,0,10,0,1
1MiB,10,128,10,9.0,12,12,9431.0,9610.4,2252600.0,29,30,129,129,0,0,0,10,0,1
1MiB,10,160,10,212.0,215,218,12885.0,12792.2,2221676.0,30,31,131,131,30,30,0,10,0,1
1MiB,10,192,10,212.5,217,223,20094.0,19800.8,2259536.0,29,31,131,131,62,62,0,10,0,1
1MiB,10,224,10,211.0,216,217,27800.0,27824.4,2276551.0,30,31,131,131,94,94,0,10,0,1
1MiB,10,256,10,210.0,219,225,34667.0,34820.2,2309905.0,29,32,131,132,125,126,0,10,0,1
1MiB,10,288,10,213.0,219,221,41970.0,43192.2,2272803.0,30,33,131,132,157,158,0,10,0,1
1MiB,10,320,10,212.0,219,221,48753.0,49278,2327219.0,31,32,131,132,189,190,0,10,0,1
1MiB,25,96,10,9.0,12,13,7586.0,7506.6,2222369.0,29,30,97,97,0,0,0,10,0,1
1MiB,25,114,10,9.0,11,13,10329.0,9544.6,2233792.0,29,30,115,115,0,0,0,10,0,1
1MiB,25,128,10,9.0,10,13,11211.0,10415.6,2246700.0,30,30,129,129,0,0,0,10,0,1
1MiB,25,160,10,170.0,210,216,13213.0,13199.6,2245612.0,30,31,131,131,30,30,0,10,0,1
1MiB,25,192,10,214.0,218,219,19825.0,19643.8,2263701.0,30,31,131,131,62,62,0,10,0,1
1MiB,25,224,10,213.0,218,223,26460.0,26590,2290705.0,30,31,131,131,94,94,0,10,0,1
1MiB,25,256,10,213.5,218,218,34216.0,34491.8,2309398.0,29,32,131,132,125,126,0,10,0,1
1MiB,25,288,10,214.5,216,216,43104.0,42735.4,2279033.0,30,32,131,132,157,158,0,10,0,1
1MiB,25,320,10,215.0,218,219,50602.0,50231.6,2310980.0,31,33,131,132,189,190,0,10,0,1
1MiB,50,96,10,10.0,13,13,8791.0,9787,2243768.0,29,30,97,97,0,0,0,10,0,1
1MiB,50,114,10,9.0,12,13,13556.0,13623.2,2224254.0,29,30,115,115,0,0,0,10,0,1
1MiB,50,128,10,9.5,13,228,14727.0,14166.6,2247161.0,30,31,129,129,0,0,0,10,0,1
1MiB,50,160,10,10.0,12,12,16658.0,16732.6,2242219.0,30,31,131,131,30,30,0,10,0,1
1MiB,50,192,10,211.0,217,219,19940.0,19583.2,2259460.0,30,31,131,131,62,62,0,10,0,1
1MiB,50,224,10,210.5,218,221,26538.0,26806,2270401.0,30,31,131,131,94,94,0,10,0,1
1MiB,50,256,10,217.0,220,221,34040.0,34291.2,2296695.0,29,32,131,132,125,126,0,10,0,1
1MiB,50,288,10,212.5,217,221,41130.0,41491.6,2280375.0,30,32,131,132,157,158,0,10,0,1
1MiB,50,320,10,212.0,217,222,50138.0,50034.4,2285846.0,30,32,131,132,189,190,0,10,0,1
1MiB,100,96,10,9.0,11,13,16277.0,15284.4,2215746.0,29,30,97,97,0,0,0,10,0,1
1MiB,100,114,10,9.5,10,13,18207.0,17352.8,2224081.0,29,30,115,115,0,0,0,10,0,1
1MiB,100,128,10,9.5,13,13,19949.0,19102.4,2244899.0,30,31,129,129,0,0,0,10,0,1
1MiB,100,160,10,9.5,13,13,23787.0,23383.6,2219255.0,30,31,131,131,30,30,0,10,0,1
1MiB,100,192,10,10.5,12,12,28319.0,28122.6,2260080.0,30,31,131,131,62,62,0,10,0,1
1MiB,100,224,10,9.5,12,13,31301.0,30990.6,2267578.0,30,32,131,131,94,94,0,10,0,1
1MiB,100,256,10,210.0,219,221,35531.0,35355,2240140.0,29,32,131,132,125,126,0,10,0,1
1MiB,100,288,10,209.0,217,220,42978.0,43624.4,2278787.0,30,31,131,132,157,158,0,10,0,1
1MiB,100,320,10,214.0,216,218,50303.0,50631.6,2303513.0,30,32,131,132,189,190,0,10,0,1
1MiB,150,96,10,10.0,12,13,20863.0,19643.4,2233997.0,29,30,97,97,0,0,0,10,0,1
1MiB,150,114,10,9.0,12,13,23564.0,23277.4,2227522.0,29,31,115,115,0,0,0,10,0,1
1MiB,150,128,10,10.0,13,13,26861.0,26121,2237386.0,29,31,129,129,0,0,0,10,0,1
1MiB,150,160,10,10.0,13,13,32158.0,31478.2,2246416.0,30,31,131,131,30,30,0,10,0,1
1MiB,150,192,10,10.5,13,13,38116.0,37959.8,2260274.0,28,31,131,131,62,62,0,10,0,1
1MiB,150,224,10,9.5,13,13,43777.0,42964.8,2263078.0,30,31,131,131,94,94,0,10,0,1
1MiB,150,256,10,10.0,13,13,49436.0,48816.4,2298513.0,30,32,131,132,125,126,0,10,0,1
1MiB,150,288,10,10.0,13,13,54597.0,54488.4,2241300.0,30,32,131,132,157,158,0,10,0,1
1MiB,150,320,10,9.0,10,13,60562.0,60326,2313274.0,31,32,131,132,189,190,0,10,0,1
1MiB,200,96,10,10.0,12,13,25346.0,25237.6,2230137.0,29,30,97,97,0,0,0,10,0,1
1MiB,200,114,10,9.5,13,13,29542.0,28912.4,2217952.0,30,30,115,115,0,0,0,10,0,1
1MiB,200,128,10,9.0,10,13,32643.0,31757.8,2228651.0,30,31,129,129,0,0,0,10,0,1
1MiB,200,160,10,10.0,13,13,39527.0,38783.6,2262336.0,30,31,131,131,30,30,0,10,0,1
1MiB,200,192,10,10.0,12,13,44166.0,45209.6,2255520.0,30,31,131,131,62,62,0,10,0,1
1MiB,200,224,10,10.0,12,13,54465.0,53907.6,2254566.0,30,31,131,131,94,94,0,10,0,1
1MiB,200,256,10,10.0,12,12,61340.0,60571,2293739.0,31,32,131,132,125,126,0,10,0,1
1MiB,200,288,10,10.0,12,13,67867.0,67548.6,2254701.0,30,32,131,132,157,158,0,10,0,1
1MiB,200,320,10,10.0,11,13,75820.0,75098.6,2293043.0,30,32,131,132,189,190,0,10,0,1
1MiB,300,96,10,9.0,13,13,34635.0,34559.4,2213332.0,29,31,97,97,0,0,0,10,0,1
1MiB,300,114,10,10.0,12,13,39939.0,39250.2,2224679.0,30,31,115,115,0,0,0,10,0,1
1MiB,300,128,10,9.5,12,13,44965.0,44812.8,2237341.0,30,31,129,129,0,0,0,10,0,1
1MiB,300,160,10,9.5,12,12,55310.0,55070.8,2263427.0,30,31,131,131,30,30,0,10,0,1
1MiB,300,192,10,10.0,13,13,65674.0,65069.8,2271517.0,30,32,131,132,61,62,0,10,0,1
1MiB,300,224,10,10.0,12,12,76209.0,75982.2,2257036.0,30,32,131,132,93,94,0,10,0,1
1MiB,300,256,10,10.0,13,13,87169.0,86965.8,2288368.0,31,33,131,132,125,126,0,10,0,1
1MiB,300,288,10,9.5,12,12,97077.0,97403.4,2260169.0,30,33,131,132,157,158,0,10,0,1
1MiB,300,320,10,9.0,12,13,107029.0,106734.8,2279990.0,31,33,131,132,189,190,0,10,0,1
10MiB,0,96,10,39.0,478,759,534.0,608.4,2235779.0,3,3,97,97,0,0,0,10,0,1
10MiB,0,114,10,208.0,234,272,644.0,825.4,2215145.0,3,3,115,115,0,0,0,10,0,1
10MiB,0,128,10,216.0,219,318,3385.0,3486,2248382.0,3,3,129,129,0,0,0,10,0,1
10MiB,0,160,10,209.0,213,214,11148.0,11275,2247798.0,3,3,131,131,30,30,0,10,0,1
10MiB,0,192,10,211.0,217,221,18593.0,18673.6,2223392.0,3,3,131,131,62,62,0,10,0,1
10MiB,0,224,10,209.0,213,215,26058.0,26160.4,2293130.0,3,3,131,131,94,94,0,10,0,1
10MiB,0,256,10,208.5,211,213,33518.0,33597.2,2243781.0,3,3,131,131,126,126,0,10,0,1
10MiB,0,288,10,212.5,221,221,40950.0,41096,2209322.0,3,3,131,131,158,158,0,10,0,1
10MiB,0,320,10,209.5,216,216,48388.0,48524.4,2272782.0,3,3,131,131,190,190,0,10,0,1
10MiB,1,96,10,9.0,22,76,8429.0,8350,2229589.0,3,3,97,97,0,0,0,10,0,1
10MiB,1,114,10,9.0,9,9,8931.0,8714.2,2208825.0,3,3,115,115,0,0,0,10,0,1
10MiB,1,128,10,9.0,9,11,9317.0,9106.2,2243802.0,3,3,129,129,0,0,0,10,0,1
